20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||CRUZEIRO EDU|1943475201.60|2386389000.00|-18.56|378152158.00|445437899.00|-15.11
*|**|CSNMINERACAO|34665726055.60|39026898043.24|-11.17|6745092045.00|7284671304.00|-7.41
||CSU CARDSYST|589798000.00|620730000.00|-4.98|114760089.00|115864039.00|-0.95
||CTC S.A.||||0.00|0.00|
||CURY S/A|2200738163.52|2402131974.24|-8.38|428209161.00|448376446.00|-4.50
*|**|CVC BRASIL|2822931852.95|3252557338.14|-13.21|549272649.00|607114895.00|-9.53
*|**|CYRELA REALT|6068095688.82|6987504126.52|-13.16|1180701189.00|1304271499.00|-9.47
||D1000VFARMA|197351083.80|222652504.80|-11.36|38399635.00|41559806.00|-7.60
||DASA|14059302861.12|15967647298.32|-11.95|2735592260.00|2980484432.00|-8.22
||DESKTOP|1478983476.00|1711543740.48|-13.59|287773568.00|319472830.00|-9.92
*|**|DEXCO|10478459835.27|11376396117.45|-7.89|2038848861.00|2123492014.00|-3.99
||DEXXOS PAR|839262235.20|910366213.50|-7.81|163299653.00|169926870.00|-3.90
||DIMED|1951899703.38|2064682814.13|-5.46|379791358.00|385388960.00|-1.45
||DIRECIONAL|1825500000.00|2062500000.00|-11.49|355197105.00|384981521.00|-7.74
||DOHLER|1159623848.85|1162588693.95|-0.26|225634091.00|217006140.00|3.98
||DOMMO|479103964.86|550459874.52|-12.96|93221770.00|102747578.00|-9.27
||DOTZ SA|320926095.36|386960271.36|-17.06|62444273.00|72229117.00|-13.55
||DTCOM-DIRECT|83483482.50|84040039.05|-0.66|16243819.00|15686721.00|3.55
*|**|ECORODOVIAS|4519209113.76|5514967054.08|-18.06|879326208.00|1029411105.00|-14.58
||ELEKTRO|6476891937.50|5646102510.56|14.71|1260242818.00|1053888549.00|19.58
*|**|ELETROBRAS|54455316770.46|55145110817.96|-1.25|10595656452.00|10293259943.00|2.94
||ELETROMIDIA|2239740048.00|2041253453.16|9.72|435797962.00|381015689.00|14.38
||ELETROPAR|741188007.00|788365211.89|-5.98|144216836.00|147154443.00|-2.00
||EMAE|1657815659.08|1787130453.08|-7.24|322569883.00|333581673.00|-3.30
||EMBPAR S/A|233310917.60|235391397.12|-0.88|45396528.00|43937618.00|3.32
